AX,AY,AZ,CO2,Temp,Hum,Tim,File
-0.008,-0.176,0.977,,,,,
-0.002,-0.17,0.965,,,,,
-0.027,-0.164,0.949,,,,,
-0.018,-0.176,0.984,,,,,
-0.004,-0.189,0.979,,,,,
-0.008,-0.168,0.973,,,,,
-0.014,-0.172,0.951,,,,,
-0.033,-0.176,0.977,,,,,
-0.008,-0.188,0.979,,,,,
-0.006,-0.17,0.979,,,,,
0,-0.164,0.959,774,36.8,28.7,161623,2
-0.027,-0.174,0.955,,,,,
-0.018,-0.178,0.986,,,,,
-0.004,-0.186,0.975,,,,,
-0.012,-0.164,0.971,,,,,
-0.012,-0.164,0.943,,,,,
-0.027,-0.174,0.982,,,,,
-0.01,-0.188,0.98,,,,,
-0.008,-0.174,0.979,,,,,
-0.006,-0.176,0.959,,,,,
-0.027,-0.176,0.963,,,,,
-0.02,-0.18,0.986,,,,,
-0.006,-0.176,0.971,,,,,
-0.008,-0.168,0.971,,,,,
-0.016,-0.166,0.957,,,,,
-0.031,-0.174,0.979,,,,,
-0.008,-0.189,0.98,,,,,
-0.01,-0.17,0.975,,,,,
0,-0.172,0.969,774,36.8,28.7,161799,2
-0.029,-0.172,0.961,,,,,
-0.016,-0.174,0.979,,,,,
-0.008,-0.178,0.975,,,,,
-0.004,-0.168,0.973,,,,,
-0.014,-0.176,0.947,,,,,
-0.035,-0.174,0.975,,,,,
-0.006,-0.186,0.973,,,,,
-0.006,-0.166,0.982,,,,,
0,-0.166,0.965,,,,,
-0.033,-0.172,0.951,,,,,
-0.018,-0.182,0.982,,,,,
-0.002,-0.186,0.98,,,,,
-0.004,-0.162,0.971,,,,,
-0.02,-0.168,0.947,,,,,
-0.029,-0.17,0.984,,,,,
-0.008,-0.186,0.973,,,,,
-0.01,-0.174,0.98,,,,,
-0.006,-0.166,0.949,774,36.8,28.7,161975,2
-0.031,-0.178,0.963,,,,,
-0.014,-0.178,0.986,,,,,
-0.006,-0.164,0.975,,,,,
-0.004,-0.164,0.959,,,,,
-0.031,-0.17,0.967,,,,,
-0.016,-0.186,0.986,,,,,
-0.008,-0.178,0.965,,,,,
-0.006,-0.174,0.973,,,,,
-0.018,-0.17,0.949,,,,,
-0.027,-0.174,0.982,,,,,
-0.004,-0.191,0.98,,,,,
-0.008,-0.168,0.973,,,,,
-0.004,-0.172,0.963,,,,,
-0.031,-0.174,0.965,,,,,
-0.012,-0.178,0.984,,,,,
-0.008,-0.172,0.971,,,,,
-0.002,-0.162,0.973,,,,,
-0.02,-0.174,0.953,774,36.8,28.7,162150,2
-0.027,-0.172,0.986,,,,,
-0.006,-0.197,0.971,,,,,
-0.01,-0.168,0.975,,,,,
-0.008,-0.174,0.959,,,,,
-0.027,-0.172,0.967,,,,,
-0.016,-0.182,0.982,,,,,
-0.008,-0.178,0.971,,,,,
-0.008,-0.172,0.975,,,,,
-0.025,-0.168,0.955,,,,,
-0.023,-0.172,0.979,,,,,
-0.008,-0.186,0.975,,,,,
-0.006,-0.166,0.982,,,,,
-0.008,-0.17,0.955,,,,,
-0.033,-0.172,0.959,,,,,
-0.014,-0.184,0.98,,,,,
-0.006,-0.178,0.971,,,,,
-0.006,-0.168,0.961,,,,,
-0.025,-0.172,0.947,774,36.8,28.7,162326,2
-0.023,-0.174,0.984,,,,,
-0.008,-0.191,0.982,,,,,
-0.006,-0.172,0.971,,,,,
-0.01,-0.168,0.945,,,,,
-0.029,-0.174,0.971,,,,,
-0.01,-0.184,0.98,,,,,
-0.008,-0.174,0.969,,,,,
-0.004,-0.166,0.965,,,,,
-0.025,-0.172,0.957,,,,,
-0.021,-0.18,0.986,,,,,
-0.006,-0.188,0.98,,,,,
0,-0.16,0.975,,,,,
-0.01,-0.166,0.953,,,,,
-0.031,-0.17,0.973,,,,,
-0.01,-0.18,0.98,,,,,
-0.008,-0.174,0.979,,,,,
0,-0.168,0.961,,,,,
-0.031,-0.178,0.953,774,36.8,28.7,162502,2
-0.018,-0.18,0.977,,,,,
-0.008,-0.188,0.971,,,,,
-0.008,-0.164,0.975,,,,,
-0.01,-0.172,0.947,,,,,
-0.027,-0.168,0.98,,,,,
-0.01,-0.188,0.973,,,,,
-0.008,-0.172,0.982,,,,,
-0.002,-0.166,0.969,,,,,
-0.027,-0.168,0.957,,,,,
-0.018,-0.172,0.982,,,,,
-0.01,-0.188,0.969,,,,,
-0.006,-0.17,0.973,,,,,
-0.014,-0.176,0.953,,,,,
-0.031,-0.172,0.965,,,,,
-0.01,-0.186,0.979,,,,,
-0.004,-0.172,0.979,,,,,
-0.002,-0.16,0.963,,,,,
-0.025,-0.174,0.955,774,36.8,28.7,162678,2
-0.021,-0.18,0.979,,,,,
-0.006,-0.189,0.979,,,,,
-0.006,-0.184,0.98,,,,,
-0.01,-0.174,0.973,,,,,
-0.016,-0.174,0.945,,,,,
-0.029,-0.176,0.98,,,,,
-0.01,-0.189,0.982,,,,,
-0.006,-0.172,0.975,,,,,
-0.004,-0.172,0.959,,,,,
-0.029,-0.17,0.959,,,,,
-0.016,-0.178,0.988,,,,,
-0.008,-0.184,0.969,,,,,
-0.008,-0.168,0.977,,,,,
-0.01,-0.168,0.955,,,,,
-0.029,-0.174,0.98,,,,,
-0.01,-0.188,0.977,,,,,
-0.008,-0.168,0.969,,,,,
-0.008,-0.17,0.963,753,36.8,28.8,162889,2
-0.029,-0.178,0.963,,,,,
-0.018,-0.178,0.979,,,,,
-0.006,-0.184,0.971,,,,,
-0.004,-0.164,0.975,,,,,
-0.018,-0.168,0.955,,,,,
-0.029,-0.17,0.975,,,,,
-0.008,-0.189,0.979,,,,,
-0.004,-0.174,0.984,,,,,
-0.004,-0.174,0.959,,,,,
-0.031,-0.172,0.953,,,,,
-0.018,-0.184,0.979,,,,,
-0.008,-0.186,0.975,,,,,
-0.008,-0.166,0.973,,,,,
-0.016,-0.168,0.951,,,,,
-0.027,-0.17,0.982,,,,,
-0.008,-0.186,0.979,,,,,
-0.008,-0.174,0.979,,,,,
-0.004,-0.166,0.957,753,36.8,28.8,163065,2
-0.031,-0.168,0.957,,,,,
-0.016,-0.178,0.982,,,,,
-0.006,-0.18,0.973,,,,,
-0.004,-0.172,0.971,,,,,
-0.021,-0.17,0.947,,,,,
-0.027,-0.178,0.988,,,,,
-0.006,-0.191,0.98,,,,,
-0.004,-0.16,0.969,,,,,
-0.004,-0.162,0.953,,,,,
-0.031,-0.172,0.961,,,,,
-0.018,-0.186,0.98,,,,,
-0.008,-0.178,0.965,,,,,
-0.004,-0.164,0.969,,,,,
-0.021,-0.17,0.955,,,,,
-0.023,-0.174,0.982,,,,,
-0.004,-0.188,0.975,,,,,
-0.01,-0.168,0.975,,,,,
-0.006,-0.174,0.955,753,36.8,28.8,163241,2
-0.029,-0.174,0.973,,,,,
-0.016,-0.182,0.98,,,,,
-0.01,-0.168,0.979,,,,,
-0.008,-0.166,0.959,,,,,
-0.033,-0.168,0.971,,,,,
-0.01,-0.174,0.977,,,,,
-0.01,-0.18,0.971,,,,,
-0.004,-0.166,0.971,,,,,
-0.025,-0.174,0.953,,,,,
-0.021,-0.174,0.98,,,,,
-0.006,-0.188,0.975,,,,,
-0.008,-0.168,0.975,,,,,
-0.006,-0.166,0.957,,,,,
-0.033,-0.174,0.967,,,,,
-0.012,-0.188,0.975,,,,,
-0.006,-0.182,0.977,,,,,
0,-0.164,0.969,,,,,
-0.027,-0.164,0.949,753,36.8,28.8,163417,2
-0.021,-0.168,0.982,,,,,
-0.004,-0.184,0.977,,,,,
-0.004,-0.17,0.982,,,,,
-0.014,-0.168,0.939,,,,,
-0.031,-0.176,0.963,,,,,
-0.01,-0.189,0.994,,,,,
-0.006,-0.178,0.971,,,,,
-0.004,-0.168,0.965,,,,,
-0.027,-0.172,0.953,,,,,
-0.023,-0.176,0.982,,,,,
-0.006,-0.188,0.98,,,,,
-0.01,-0.168,0.971,,,,,
-0.008,-0.17,0.947,,,,,
-0.031,-0.172,0.975,,,,,
-0.008,-0.188,0.98,,,,,
-0.012,-0.176,0.971,,,,,
-0.002,-0.168,0.963,,,,,
-0.025,-0.174,0.959,753,36.8,28.8,163592,2
-0.021,-0.178,0.982,,,,,
-0.008,-0.188,0.973,,,,,
-0.01,-0.172,0.979,,,,,
-0.006,-0.168,0.951,,,,,
-0.035,-0.172,0.975,,,,,
-0.008,-0.186,0.98,,,,,
-0.008,-0.174,0.975,,,,,
0,-0.174,0.963,,,,,
-0.027,-0.174,0.957,,,,,
-0.021,-0.176,0.979,,,,,
-0.006,-0.184,0.973,,,,,
-0.01,-0.164,0.98,,,,,
-0.006,-0.164,0.949,,,,,
-0.031,-0.172,0.975,,,,,
-0.012,-0.188,0.977,,,,,
-0.012,-0.178,0.98,,,,,
-0.004,-0.17,0.967,,,,,
-0.027,-0.164,0.951,753,36.8,28.8,163768,2
-0.02,-0.172,0.982,,,,,
-0.006,-0.184,0.979,,,,,
-0.008,-0.172,0.982,,,,,
-0.014,-0.17,0.949,,,,,
-0.035,-0.174,0.965,,,,,
-0.008,-0.189,0.984,,,,,
-0.006,-0.168,0.975,,,,,
0.002,-0.17,0.959,,,,,
-0.031,-0.166,0.951,,,,,
-0.018,-0.178,0.986,,,,,
-0.006,-0.189,0.973,,,,,
-0.01,-0.164,0.969,,,,,
-0.008,-0.166,0.947,,,,,
-0.031,-0.174,0.979,,,,,
-0.008,-0.188,0.979,,,,,
-0.014,-0.172,0.971,,,,,
-0.006,-0.17,0.963,,,,,
-0.027,-0.172,0.955,753,36.8,28.8,163944,2
-0.023,-0.178,0.982,,,,,
-0.004,-0.18,0.975,,,,,
-0.004,-0.17,0.984,,,,,
-0.014,-0.164,0.957,,,,,
-0.031,-0.178,0.979,,,,,
-0.014,-0.188,0.975,,,,,
-0.01,-0.174,0.973,,,,,
0,-0.172,0.965,,,,,
-0.029,-0.17,0.955,,,,,
-0.014,-0.174,0.98,,,,,
-0.004,-0.182,0.979,,,,,
-0.008,-0.17,0.977,,,,,
-0.014,-0.17,0.953,,,,,
-0.031,-0.172,0.975,,,,,
-0.01,-0.189,0.971,,,,,
-0.006,-0.172,0.977,,,,,
0,-0.164,0.965,,,,,
-0.027,-0.166,0.955,753,36.8,28.8,164120,2
-0.018,-0.176,0.98,,,,,
-0.002,-0.186,0.975,,,,,
-0.008,-0.17,0.979,,,,,
-0.018,-0.168,0.945,,,,,
-0.029,-0.17,0.975,,,,,
-0.006,-0.182,0.98,,,,,
-0.002,-0.17,0.977,,,,,
-0.002,-0.172,0.965,,,,,
-0.033,-0.172,0.945,,,,,
-0.02,-0.18,0.984,,,,,
-0.008,-0.189,0.977,,,,,
-0.006,-0.16,0.967,,,,,
-0.014,-0.172,0.951,,,,,
-0.029,-0.172,0.975,,,,,
-0.008,-0.188,0.98,,,,,
-0.008,-0.174,0.977,,,,,
0,-0.164,0.957,,,,,
-0.027,-0.166,0.957,753,36.8,28.8,164295,2
-0.02,-0.178,0.982,,,,,
-0.008,-0.182,0.969,,,,,
-0.006,-0.174,0.971,,,,,
-0.012,-0.172,0.957,,,,,
-0.029,-0.178,0.977,,,,,
-0.01,-0.189,0.979,,,,,
-0.002,-0.172,0.975,,,,,
0,-0.17,0.963,,,,,
-0.033,-0.174,0.953,,,,,
-0.02,-0.178,0.98,,,,,
-0.008,-0.182,0.971,,,,,
-0.004,-0.168,0.977,,,,,
-0.008,-0.166,0.957,,,,,
-0.029,-0.168,0.973,,,,,
-0.006,-0.189,0.977,,,,,
-0.006,-0.176,0.98,,,,,
-0.002,-0.174,0.969,,,,,
-0.025,-0.168,0.951,753,36.8,28.8,164471,2
-0.021,-0.178,0.98,,,,,
-0.008,-0.184,0.977,,,,,
-0.006,-0.174,0.979,,,,,
-0.016,-0.172,0.943,,,,,
-0.031,-0.172,0.965,,,,,
-0.006,-0.186,0.984,,,,,
-0.006,-0.172,0.979,,,,,
-0.002,-0.166,0.959,,,,,
-0.031,-0.168,0.951,,,,,
-0.021,-0.176,0.986,,,,,
-0.004,-0.184,0.973,,,,,
-0.008,-0.17,0.967,,,,,
-0.01,-0.172,0.943,,,,,
-0.029,-0.176,0.982,,,,,
-0.006,-0.189,0.98,,,,,
-0.01,-0.17,0.977,,,,,
0,-0.166,0.959,,,,,
-0.023,-0.168,0.965,753,36.8,28.8,164647,2
-0.014,-0.178,0.986,,,,,
-0.008,-0.184,0.967,,,,,
-0.004,-0.168,0.975,,,,,
-0.014,-0.17,0.953,,,,,
-0.031,-0.172,0.965,,,,,
-0.016,-0.178,0.975,,,,,
-0.008,-0.18,0.967,,,,,
-0.008,-0.166,0.973,,,,,
-0.014,-0.17,0.951,,,,,
-0.027,-0.174,0.979,,,,,
-0.008,-0.189,0.975,,,,,
-0.008,-0.17,0.973,,,,,
-0.004,-0.168,0.957,,,,,
-0.031,-0.168,0.961,,,,,
-0.014,-0.178,0.973,,,,,
-0.004,-0.182,0.975,,,,,
-0.008,-0.172,0.975,,,,,
-0.021,-0.17,0.945,721,36.9,28.8,164860,2
-0.029,-0.172,0.977,,,,,
-0.002,-0.188,0.977,,,,,
-0.008,-0.168,0.977,,,,,
-0.002,-0.164,0.957,,,,,
-0.031,-0.17,0.959,,,,,
-0.016,-0.182,0.986,,,,,
-0.004,-0.184,0.975,,,,,
-0.006,-0.164,0.965,,,,,
-0.018,-0.172,0.943,,,,,
-0.023,-0.172,0.982,,,,,
-0.002,-0.189,0.977,,,,,
-0.01,-0.168,0.971,,,,,
-0.006,-0.168,0.949,,,,,
-0.027,-0.168,0.973,,,,,
-0.012,-0.184,0.98,,,,,
-0.004,-0.174,0.971,,,,,
-0.004,-0.17,0.971,,,,,
-0.021,-0.174,0.949,721,36.9,28.8,165036,2
-0.023,-0.176,0.98,,,,,
-0.008,-0.188,0.975,,,,,
-0.008,-0.17,0.975,,,,,
-0.006,-0.174,0.955,,,,,
-0.035,-0.172,0.971,,,,,
-0.012,-0.182,0.977,,,,,
-0.004,-0.172,0.971,,,,,
-0.002,-0.166,0.971,,,,,
-0.02,-0.17,0.951,,,,,
-0.025,-0.172,0.982,,,,,
-0.006,-0.189,0.975,,,,,
-0.01,-0.172,0.979,,,,,
-0.01,-0.17,0.953,,,,,
-0.033,-0.164,0.961,,,,,
-0.012,-0.178,0.982,,,,,
-0.004,-0.176,0.975,,,,,
0,-0.174,0.965,,,,,
-0.023,-0.172,0.951,721,36.9,28.8,165211,2
-0.021,-0.17,0.98,,,,,
-0.006,-0.188,0.979,,,,,
-0.012,-0.172,0.979,,,,,
-0.004,-0.164,0.949,,,,,
-0.035,-0.17,0.959,,,,,
-0.016,-0.188,0.982,,,,,
-0.008,-0.178,0.975,,,,,
0.002,-0.164,0.971,,,,,
-0.02,-0.172,0.943,,,,,
-0.021,-0.172,0.99,,,,,
-0.004,-0.191,0.982,,,,,
-0.012,-0.168,0.979,,,,,
-0.008,-0.168,0.951,,,,,
-0.029,-0.17,0.969,,,,,
-0.01,-0.188,0.982,,,,,
-0.006,-0.176,0.969,,,,,
-0.004,-0.172,0.965,,,,,
-0.021,-0.172,0.951,721,36.9,28.8,165387,2
-0.021,-0.182,0.98,,,,,
-0.008,-0.191,0.971,,,,,
-0.004,-0.166,0.969,,,,,
-0.008,-0.168,0.959,,,,,
-0.035,-0.172,0.963,,,,,
-0.01,-0.18,0.977,,,,,
-0.008,-0.172,0.969,,,,,
0,-0.166,0.973,,,,,
-0.025,-0.174,0.957,,,,,
-0.021,-0.174,0.98,,,,,
-0.006,-0.188,0.973,,,,,
-0.01,-0.168,0.979,,,,,
-0.012,-0.172,0.951,,,,,
-0.033,-0.172,0.965,,,,,
-0.008,-0.188,0.979,,,,,
-0.008,-0.178,0.975,,,,,
-0.004,-0.174,0.969,,,,,
-0.027,-0.174,0.961,721,36.9,28.8,165563,2
-0.018,-0.168,0.988,,,,,
-0.002,-0.184,0.979,,,,,
-0.008,-0.168,0.971,,,,,
-0.016,-0.172,0.955,,,,,
-0.031,-0.174,0.969,,,,,
-0.014,-0.191,0.973,,,,,
-0.008,-0.172,0.979,,,,,
-0.002,-0.166,0.959,,,,,
-0.027,-0.168,0.951,,,,,
-0.016,-0.174,0.98,,,,,
-0.008,-0.189,0.982,,,,,
-0.006,-0.17,0.973,,,,,
-0.016,-0.172,0.939,,,,,
-0.027,-0.172,0.982,,,,,
-0.008,-0.188,0.98,,,,,
-0.008,-0.174,0.973,,,,,
-0.006,-0.172,0.965,,,,,
-0.031,-0.172,0.955,721,36.9,28.8,165739,2
-0.014,-0.178,0.996,,,,,
-0.006,-0.182,0.982,,,,,
-0.002,-0.162,0.969,,,,,
-0.018,-0.174,0.951,,,,,
-0.029,-0.182,0.979,,,,,
-0.006,-0.188,0.977,,,,,
-0.01,-0.176,0.975,,,,,
0,-0.172,0.959,,,,,
-0.035,-0.174,0.965,,,,,
-0.014,-0.17,0.973,,,,,
-0.008,-0.178,0.977,,,,,
-0.004,-0.164,0.975,,,,,
-0.014,-0.172,0.955,,,,,
-0.018,-0.18,0.975,,,,,
-0.01,-0.18,0.971,,,,,
-0.004,-0.17,0.982,,,,,
-0.016,-0.174,0.949,,,,,
-0.029,-0.172,0.973,721,36.9,28.8,165914,2
-0.006,-0.189,0.971,,,,,
-0.006,-0.174,0.986,,,,,
-0.002,-0.168,0.961,,,,,
-0.035,-0.172,0.953,,,,,
-0.016,-0.178,0.979,,,,,
-0.004,-0.18,0.975,,,,,
-0.004,-0.17,0.969,,,,,
-0.021,-0.172,0.934,,,,,
-0.027,-0.178,0.977,,,,,
-0.006,-0.191,0.98,,,,,
-0.008,-0.172,0.982,,,,,
-0.002,-0.164,0.953,,,,,
-0.029,-0.168,0.963,,,,,
-0.012,-0.18,0.984,,,,,
-0.006,-0.182,0.977,,,,,
-0.006,-0.168,0.975,,,,,
-0.023,-0.176,0.941,,,,,
-0.029,-0.172,0.986,721,36.9,28.8,166090,2
-0.006,-0.189,0.977,,,,,
-0.004,-0.164,0.971,,,,,
-0.006,-0.17,0.957,,,,,
-0.031,-0.168,0.961,,,,,
-0.01,-0.182,0.986,,,,,
-0.008,-0.182,0.961,,,,,
-0.004,-0.168,0.967,,,,,
-0.02,-0.174,0.955,,,,,
-0.027,-0.172,0.986,,,,,
-0.008,-0.195,0.977,,,,,
-0.014,-0.17,0.969,,,,,
-0.008,-0.17,0.955,,,,,
-0.031,-0.174,0.971,,,,,
-0.012,-0.178,0.984,,,,,
-0.008,-0.172,0.977,,,,,
-0.008,-0.17,0.973,,,,,
-0.021,-0.17,0.953,,,,,
-0.025,-0.176,0.977,721,36.9,28.8,166266,2
-0.008,-0.191,0.969,,,,,
-0.01,-0.168,0.975,,,,,
-0.004,-0.174,0.961,,,,,
-0.031,-0.168,0.965,,,,,
-0.014,-0.182,0.98,,,,,
-0.006,-0.174,0.984,,,,,
-0.004,-0.168,0.965,,,,,
-0.025,-0.17,0.949,,,,,
-0.023,-0.172,0.982,,,,,
-0.002,-0.191,0.977,,,,,
-0.012,-0.166,0.973,,,,,
-0.008,-0.166,0.945,,,,,
-0.029,-0.166,0.967,,,,,
-0.01,-0.186,0.98,,,,,
-0.006,-0.18,0.979,,,,,
-0.006,-0.17,0.963,,,,,
-0.021,-0.172,0.951,,,,,
-0.018,-0.176,0.992,721,36.9,28.8,166442,2
-0.006,-0.186,0.971,,,,,
-0.006,-0.164,0.98,,,,,
-0.014,-0.166,0.951,,,,,
-0.037,-0.174,0.975,,,,,
-0.01,-0.186,0.984,,,,,
-0.012,-0.174,0.973,,,,,
0,-0.168,0.965,,,,,
-0.025,-0.174,0.959,,,,,
-0.018,-0.174,0.986,,,,,
-0.004,-0.189,0.969,,,,,
-0.008,-0.168,0.969,,,,,
-0.01,-0.172,0.951,,,,,
-0.035,-0.174,0.977,,,,,
-0.01,-0.182,0.971,,,,,
-0.012,-0.17,0.973,,,,,
-0.002,-0.168,0.961,,,,,
-0.027,-0.176,0.957,,,,,
-0.018,-0.178,0.982,721,36.9,28.8,166618,2
-0.01,-0.184,0.967,,,,,
-0.002,-0.17,0.98,,,,,
-0.012,-0.168,0.955,,,,,
-0.035,-0.172,0.969,,,,,
-0.01,-0.182,0.975,,,,,
-0.01,-0.174,0.977,,,,,
-0.008,-0.176,0.975,,,,,
-0.002,-0.16,0.961,,,,,
-0.031,-0.172,0.947,,,,,
-0.021,-0.172,0.982,,,,,
-0.004,-0.186,0.971,,,,,
-0.008,-0.166,0.977,,,,,
-0.012,-0.178,0.947,,,,,
-0.031,-0.172,0.975,,,,,
-0.004,-0.191,0.973,,,,,
-0.006,-0.17,0.975,,,,,
-0.002,-0.168,0.953,,,,,
-0.029,-0.17,0.957,711,37,28.6,166829,2
-0.018,-0.182,0.986,,,,,
-0.008,-0.188,0.975,,,,,
-0.008,-0.168,0.971,,,,,
-0.012,-0.17,0.945,,,,,
-0.031,-0.174,0.98,,,,,
-0.006,-0.188,0.979,,,,,
-0.01,-0.176,0.977,,,,,
-0.004,-0.164,0.963,,,,,
-0.027,-0.174,0.959,,,,,
-0.018,-0.178,0.986,,,,,
-0.01,-0.184,0.969,,,,,
-0.006,-0.17,0.975,,,,,
-0.014,-0.172,0.951,,,,,
-0.031,-0.168,0.973,,,,,
-0.004,-0.184,0.975,,,,,
-0.008,-0.172,0.982,,,,,
-0.002,-0.176,0.959,,,,,
-0.031,-0.172,0.957,711,37,28.6,167005,2
-0.014,-0.178,0.979,,,,,
-0.004,-0.176,0.969,,,,,
-0.008,-0.166,0.973,,,,,
-0.033,-0.17,0.957,,,,,
-0.014,-0.182,0.98,,,,,
-0.004,-0.186,0.977,,,,,
-0.006,-0.172,0.971,,,,,
-0.016,-0.166,0.945,,,,,
-0.025,-0.166,0.979,,,,,
-0.004,-0.186,0.982,,,,,
-0.008,-0.17,0.982,,,,,
-0.006,-0.172,0.953,,,,,
-0.033,-0.178,0.959,,,,,
-0.012,-0.184,0.984,,,,,
-0.008,-0.184,0.971,,,,,
-0.004,-0.162,0.969,,,,,
-0.018,-0.168,0.951,,,,,
-0.027,-0.17,0.984,711,37,28.6,167181,2
-0.006,-0.191,0.984,,,,,
-0.012,-0.172,0.975,,,,,
-0.004,-0.168,0.953,,,,,
-0.031,-0.172,0.967,,,,,
-0.012,-0.182,0.979,,,,,
-0.008,-0.176,0.977,,,,,
-0.004,-0.172,0.969,,,,,
-0.02,-0.172,0.959,,,,,
-0.023,-0.178,0.982,,,,,
-0.008,-0.188,0.982,,,,,
-0.006,-0.168,0.977,,,,,
-0.01,-0.172,0.957,,,,,
-0.029,-0.172,0.961,,,,,
-0.012,-0.182,0.98,,,,,
-0.01,-0.182,0.969,,,,,
0,-0.172,0.971,,,,,
-0.02,-0.176,0.959,,,,,
-0.025,-0.172,0.979,711,37,28.6,167357,2
-0.004,-0.186,0.973,,,,,
-0.01,-0.168,0.979,,,,,
-0.004,-0.17,0.953,,,,,
-0.035,-0.176,0.965,,,,,
-0.012,-0.186,0.975,,,,,
-0.008,-0.178,0.975,,,,,
-0.002,-0.168,0.977,,,,,
-0.021,-0.166,0.951,,,,,
-0.025,-0.172,0.98,,,,,
-0.002,-0.189,0.975,,,,,
-0.01,-0.176,0.984,,,,,
-0.01,-0.174,0.951,,,,,
-0.035,-0.168,0.961,,,,,
-0.01,-0.186,0.982,,,,,
-0.004,-0.172,0.977,,,,,
-0.002,-0.166,0.963,,,,,
-0.027,-0.172,0.951,,,,,
-0.023,-0.176,0.986,711,37,28.6,167532,2
-0.004,-0.189,0.98,,,,,
-0.01,-0.164,0.971,,,,,
-0.004,-0.164,0.953,,,,,
-0.033,-0.17,0.971,,,,,
-0.012,-0.186,0.98,,,,,
-0.01,-0.178,0.965,,,,,
-0.004,-0.17,0.967,,,,,
-0.023,-0.174,0.955,,,,,
-0.021,-0.176,0.986,,,,,
-0.004,-0.18,0.977,,,,,
-0.008,-0.168,0.982,,,,,
-0.01,-0.164,0.951,,,,,
-0.031,-0.178,0.977,,,,,
-0.01,-0.184,0.984,,,,,
-0.008,-0.178,0.957,,,,,
0,-0.168,0.973,,,,,
-0.025,-0.174,0.955,,,,,
-0.02,-0.17,0.982,711,37,28.6,167708,2
-0.006,-0.188,0.973,,,,,
-0.01,-0.17,0.977,,,,,
-0.008,-0.174,0.953,,,,,
-0.031,-0.174,0.969,,,,,
-0.01,-0.188,0.973,,,,,
-0.01,-0.174,0.977,,,,,
-0.002,-0.166,0.965,,,,,
-0.029,-0.166,0.953,,,,,
-0.021,-0.174,0.982,,,,,
-0.004,-0.186,0.975,,,,,
-0.008,-0.174,0.984,,,,,
-0.008,-0.168,0.951,,,,,
-0.029,-0.174,0.973,,,,,
-0.008,-0.186,0.975,,,,,
-0.008,-0.176,0.971,,,,,
0.002,-0.172,0.965,,,,,
-0.031,-0.174,0.953,,,,,
-0.02,-0.176,0.99,711,37,28.6,167884,2
-0.004,-0.184,0.977,,,,,
-0.006,-0.16,0.971,,,,,
-0.014,-0.168,0.949,,,,,
-0.031,-0.176,0.98,,,,,
-0.008,-0.191,0.977,,,,,
-0.012,-0.176,0.971,,,,,
-0.002,-0.164,0.963,,,,,
-0.025,-0.172,0.967,,,,,
-0.018,-0.178,0.982,,,,,
-0.004,-0.182,0.977,,,,,
-0.004,-0.172,0.971,,,,,
-0.018,-0.174,0.945,,,,,
-0.027,-0.182,0.984,,,,,
-0.006,-0.186,0.975,,,,,
-0.008,-0.172,0.977,,,,,
-0.004,-0.172,0.959,,,,,
-0.031,-0.174,0.961,,,,,
-0.021,-0.182,0.982,711,37,28.6,168060,2
-0.01,-0.184,0.971,,,,,
-0.008,-0.17,0.971,,,,,
-0.012,-0.17,0.959,,,,,
-0.027,-0.17,0.982,,,,,
-0.006,-0.186,0.971,,,,,
-0.01,-0.172,0.975,,,,,
-0.002,-0.172,0.957,,,,,
-0.033,-0.172,0.957,,,,,
-0.018,-0.18,0.977,,,,,
-0.008,-0.186,0.967,,,,,
-0.004,-0.174,0.979,,,,,
-0.02,-0.168,0.951,,,,,
-0.029,-0.172,0.973,,,,,
-0.006,-0.193,0.977,,,,,
-0.008,-0.172,0.982,,,,,
0.004,-0.168,0.961,,,,,
-0.033,-0.168,0.953,,,,,
-0.018,-0.178,0.984,711,37,28.6,168236,2
-0.006,-0.182,0.977,,,,,
-0.004,-0.164,0.971,,,,,
-0.014,-0.17,0.941,,,,,
-0.027,-0.176,0.975,,,,,
-0.006,-0.189,0.98,,,,,
-0.008,-0.168,0.977,,,,,
-0.002,-0.164,0.961,,,,,
-0.025,-0.168,0.959,,,,,
-0.018,-0.176,0.982,,,,,
-0.008,-0.182,0.977,,,,,
-0.006,-0.174,0.977,,,,,
-0.021,-0.174,0.943,,,,,
-0.029,-0.172,0.977,,,,,
-0.006,-0.188,0.977,,,,,
-0.008,-0.168,0.977,,,,,
-0.002,-0.168,0.963,,,,,
-0.031,-0.172,0.965,,,,,
-0.018,-0.174,0.988,711,37,28.6,168412,2
-0.01,-0.178,0.965,,,,,
-0.008,-0.166,0.963,,,,,
-0.018,-0.176,0.953,,,,,
-0.027,-0.172,0.98,,,,,
-0.006,-0.193,0.975,,,,,
-0.014,-0.174,0.975,,,,,
0,-0.17,0.959,,,,,
-0.033,-0.172,0.959,,,,,
-0.012,-0.178,0.979,,,,,
-0.004,-0.174,0.971,,,,,
-0.006,-0.172,0.98,,,,,
-0.016,-0.168,0.951,,,,,
-0.031,-0.174,0.979,,,,,
-0.002,-0.191,0.977,,,,,
-0.01,-0.168,0.982,,,,,
0,-0.168,0.963,,,,,
-0.033,-0.176,0.959,,,,,
-0.014,-0.182,0.977,711,37,28.6,168587,2
-0.006,-0.184,0.979,,,,,
-0.004,-0.164,0.967,,,,,
-0.021,-0.17,0.945,,,,,
-0.023,-0.172,0.986,,,,,
-0.006,-0.191,0.977,,,,,
