AX,AY,AZ,CO2,Temp,Hum,Tim,File
0.027,-0.207,0.977,,,,,
0.039,-0.188,0.963,,,,,
0.025,-0.188,0.959,,,,,
0.014,-0.195,0.961,,,,,
0.02,-0.211,0.982,,,,,
0.031,-0.203,0.971,,,,,
0.029,-0.188,0.961,,,,,
0.012,-0.195,0.949,99999,99.9,100,1759,2
0.018,-0.197,0.982,,,,,
0.033,-0.209,0.977,,,,,
0.033,-0.186,0.967,,,,,
0.012,-0.199,0.959,,,,,
0.02,-0.197,0.986,,,,,
0.033,-0.203,0.971,,,,,
0.039,-0.186,0.963,,,,,
0.016,-0.191,0.951,,,,,
0.016,-0.201,0.969,,,,,
0.023,-0.209,0.98,,,,,
0.033,-0.189,0.957,,,,,
0.031,-0.182,0.959,,,,,
0.014,-0.195,0.969,,,,,
0.025,-0.201,0.982,,,,,
0.033,-0.205,0.969,,,,,
0.033,-0.186,0.965,,,,,
0.02,-0.193,0.947,,,,,
0.016,-0.199,0.975,99999,99.9,100,1935,2
0.025,-0.209,0.967,,,,,
0.031,-0.195,0.961,,,,,
0.025,-0.191,0.963,,,,,
0.014,-0.193,0.965,,,,,
0.021,-0.199,0.977,,,,,
0.035,-0.203,0.967,,,,,
0.029,-0.184,0.965,,,,,
0.016,-0.193,0.951,,,,,
0.014,-0.195,0.98,,,,,
0.025,-0.207,0.973,,,,,
0.039,-0.191,0.969,,,,,
0.025,-0.189,0.955,,,,,
0.008,-0.195,0.951,,,,,
0.023,-0.203,0.977,,,,,
0.031,-0.203,0.975,,,,,
0.037,-0.191,0.969,,,,,
0.01,-0.191,0.941,,,,,
0.021,-0.193,0.977,398,30.9,38.5,2111,2
0.027,-0.209,0.977,,,,,
0.035,-0.191,0.971,,,,,
0.025,-0.193,0.955,,,,,
0.01,-0.191,0.959,,,,,
0.023,-0.203,0.98,,,,,
0.035,-0.199,0.965,,,,,
0.035,-0.186,0.963,,,,,
0.014,-0.189,0.939,,,,,
0.014,-0.195,0.98,,,,,
0.027,-0.213,0.973,,,,,
0.035,-0.188,0.963,,,,,
0.025,-0.186,0.943,,,,,
0.014,-0.195,0.975,,,,,
0.021,-0.211,0.979,,,,,
0.033,-0.197,0.969,,,,,
0.037,-0.189,0.963,,,,,
0.012,-0.189,0.951,,,,,
0.016,-0.195,0.984,398,30.9,38.5,2287,2
0.029,-0.207,0.965,,,,,
0.037,-0.189,0.975,,,,,
0.021,-0.195,0.955,,,,,
0.012,-0.193,0.965,,,,,
0.021,-0.207,0.984,,,,,
0.031,-0.191,0.957,,,,,
0.035,-0.188,0.969,,,,,
0.01,-0.199,0.961,,,,,
0.02,-0.195,0.984,,,,,
0.023,-0.217,0.969,,,,,
0.039,-0.188,0.969,,,,,
0.023,-0.195,0.949,,,,,
0.01,-0.191,0.967,,,,,
0.021,-0.209,0.979,,,,,
0.033,-0.191,0.975,,,,,
0.033,-0.189,0.971,,,,,
0.014,-0.188,0.951,,,,,
0.018,-0.195,0.984,398,30.9,38.5,2462,2
0.035,-0.209,0.977,,,,,
0.035,-0.188,0.967,,,,,
0.02,-0.195,0.955,,,,,
0.01,-0.193,0.965,,,,,
0.02,-0.207,0.984,,,,,
0.033,-0.195,0.965,,,,,
0.035,-0.188,0.959,,,,,
0.01,-0.193,0.951,,,,,
0.021,-0.197,0.986,,,,,
0.027,-0.205,0.977,,,,,
0.037,-0.182,0.957,,,,,
0.021,-0.189,0.949,,,,,
0.012,-0.195,0.969,,,,,
0.021,-0.215,0.98,,,,,
0.035,-0.191,0.967,,,,,
0.031,-0.188,0.953,,,,,
0.012,-0.189,0.963,,,,,
0.021,-0.199,0.982,398,30.9,38.5,2638,2
